Person in charge,Authors,Year,Title,DOI or PMID,Language,"Country (e.g., where RCT was performed)",Included/exclude,Reason for exclusion,Reason for exclusion,Reason for exclusion (description),Data collection,Analysis,Species,Species information,"Count, n","Count, n control group","Count, n died in control group","Count, n excluded in control group","Count, n treatment group","Count, n died in treatment group","Count, n excluded in treatment group",Comment on counts,"Sex (n, ratio, percentage)",Sex,"Sex (%, male)","Age [days, months, years]",Age (mean),Age (SD),Age (min),Age (max),Age (units),Age (comment),"Weight [g, kg , pounds]",Weight (mean),Weight (SD),Weight (min),Weight (max),Weight (unit),Weight (comment),"Injury characteristics (level, severity)",Injury level,Injury severity,Injury mechanism,Injury mechanism (details),Duration of SCI,Drug(s),Drug name harmonized,MP used as main drug?,Dose (absolute dose or mg/kg),"Time (minutes pre-injury, minutes post-injury)",Treatmetn in first 24h?,Duration of treatment,"Timing (e.g., BID, PID)",Route,Route (comment when multiple),"What was assessed? (e.g., neurological,  functional recovery, spasticity, walking function, electrophysiology)",Name/type of asessement,Name of assessment harmonised,Details on assessement,Timing of assessement,Assessment on day 28 (yes/no),Was observer blinded?,Drug effect on functional assessment,Drug effect on functional assessment (details),"What was assessed? (e.g., histological measures, cavitity measures, ect )",Name/type of asessement,Timing of assessement,Was observer blinded?,Drug effect on neuroanatomical assessment,Drug effect on neuroanatomical assessment (details),Drugs given to treat infections/pain ect.,Conclusion of study,Limitations,Remarks/Comments,Combination of drugs tested,Contradictions present in the results
Louis,Festoff et al.,2006,"Minocycline neuroprotects, reduces microgliosis, and inhibits caspase protease expression early after spinal cord injury",10.1111/j.1471-4159.2006.03799.x,English,United States,excluded,Out of scope,No control group,Another drug of interest was given to control group.,,,rats,Sprague Dawley,33,12,,,21,,,control group treated with tetracycline,all female,,0,adult (no precise age reported),,,,,,,300g to 325g,,,,,,,contusion injury at T9,,,,"NYU weight drop model, 10g impactor dropped from 25mm (25gcm impact force)",-,Minocycline,,,90mg/kg (total),"single dose: 30min or 1hr or 24hrs post-injury
multiple doses: 30mg/kg at 30min, 1hr and 24hrs post-injury",,injection,,intraperitoneally,,functional,BBB locomotor scale,,"animals trained beginning 1 week pre-injury;
assessment by three observers","pre-injury,
post-injury days 1, 2, 3, 7, 10, 14, 17, 21, 24, 28",,Yes,positive effect,"regardless of dosing regime followed, statistically significant improvement in recovery observed from day 2 (multi-dose) or day 7 (any of the single-dose regimes) onwards when compared to SCI control","histopathology;
immunohistochemistry","tissue sparing via hematoxylin-eosin / Nissl and HAM-56 stains;
apoptosis via anti-capase-3",post-injury day 28,Not reported,positive effect,"decreased tissue loss in minocycline treated animals (only qualitative assessemnt),
statistically significant reduction in cavity size in minocyclin treatment group compared to tetracycline control at injury site and in caudal segments",,Minocycline improves functional recovery. Multi-dose regime leads to more rapid recovery but recovery plateaus at same level for all dosing regimes. ,"Small sample sizes (n=4, n=2) for different treatment groups.",,No,
Louis,Suzuki et al.,1995,Effects of nicorandil on the recovery of reflex potentials after spinal cord ischaemia in cats,10.1111/j.1476-5381.1995.tb16668.x,English,Japan,excluded,Out of scope,Other,unclear and mixed SCI (transection and ischemia; potentially some assessment ex-vivo),,,cats,Not reported,55,10,,,10,,,,not reported,not reported,not reported,adult (no precise age reported),,,,,,Adult,2.1kg to 3.5kg,,,2.1,3.5,kg,,arterial occlusion injury ,,,ischemia,aorta and bilateral internal mammary arteries were occluded twice for 10min w/ at least 110min between occlusion,not reported,nitroprusside,nitroprusside,,"group 1: 5microgram/kg per min;
group 2: 8microgram/kg per min","starting 10 minutes before second occlusion, lasting until 
90 min after reperfusion",,infusion for 110min,,intravenously,,"electrophysiology;
physiology","mono- and polysynaptic reflex potentials (M/PSR);
spinal cord/regional blood flow, blood pressure",,"M/PSR potentials measured at L7 ipsilateral or S1 ventral root;
spinal cord blood flow via Laser-Doppler flowmetry, BP via left femoral artey","M/PSR prior to injury and multiple time points after reperfusion;
spinal cord blood flow and blood pressure continuously",,Not reported,mixed effects (dosage) + mixed effects (assessment),"lower dose (5ug/kg) showed no effect on recovery of PSR potentials,
higher dose (8ug/kg) showed negative effect on recovery of PSR potentials;
no effect on spinal cord blood flow and negative effect on blood pressure (decreased)",,,,,,,,K+ channel openers can benefit recovery after ischemia in spinal cord (which can be introduced by traumatic injury). ,,,No,
Louis,Holtz et al.,1989,Blocking weight-induced spinal cord injury in rats: effects of TRH or naloxone on motor function recovery and spinal cord blood flow.,10.1111/j.1600-0404.1989.tb03865.x,English,Sweden,included,,,,,,rats,Sprague Dawley,30,10,,,10,,,,all male,male,100,not reported,,,,,,Not reported,320g to 380g,,,320,380,g,,compression injury at T7/T8,T7 - T8,Not reported,compression,compression plate applied to exposed dura w/ load of 35g for 5min,4 days,Naloxone,naloxone,,"bolus: 2mg/kg
infusion: 2mg/kg/h 
total: 10mg/kg ","bolus: 1hr post-injury
infusion: following bolus",,4 hours,,intravenously,,functional,inclined plane test,,,post-injury days 1 to 4,,Not reported,no effect,,perfusion,spinal cord blood flow assessed via 14C-IAP autoradiography,post-injury day 4,Not reported,no effect,,,Naloxone does not improve functional recovery or blood flow in the spinal cord after injury.,,Potentially level of injury has influence on results as other studies report beneficial effect of naloxone.,No,
Louis,Park et al.,2012,Beneficial effects of endogenous and exogenous melatonin on neural reconstruction and functional recovery in an animal model of spinal cord injury,10.1111/j.1600-079X.2011.00925.x,English,South Korea,included,,,,,,rats,Sprague Dawley,36,12,,,12,,,Assume that rats were always split equally between different groups.,all male,male,100,8 weeks,8,,,,Weeks,Adult,250g to 260g,,,250,260,g,,contusion injury centered at T10,T10,Not reported,contusion,"NYU weight drop model, 10g impactor dropped from 25mm","3 days, 2 weeks, 4 weeks",Melatonin,melatonin,,10mg/kg,post-injury day 1,,4 weeks,twice daily,subcutaneous,,functional,BBB locomotor scale,,,"post-injury days 1, 3, 7, 14, 21, 28",,Yes,positive effect,"statistically significant improvement in BBB score for melatonin treatment group compared to control (within L/D and L/L) from day 14 onwards;
statistically significant improvement in BBB score in control group under L/D condition compared to control group in L/L condition from day 21 onwards",,,,,,,,Both exogeneous and endogenous melatonin improve functional recovery (statistically significant) beginning from days 14 and 21 post-injury respectively.,,Two different light/dark regimes used to study effect of natural melatonin production.,No,
Louis,Ates et al.,2006,"Effects of resveratrol and methylprednisolone on biochemical, neurobehavioral and histopathological recovery after experimental spinal cord injury",10.1111/j.1745-7254.2006.00416.x,English,Turkey,included,,,,,,rats,Wistar,90,15,,,15,3,,some animals in bigger groups excluded from analysis to balance groups,all male,male,100,14 to 16 weeks,15,0.9,14,16,Weeks,Adult,200g to 250g,221.5,28,200,250,g,,contusion injury at between T7 and T10,T7 - T10,Not reported,contusion,"5g impactor dropped from 10cm, 50g/cm force","24 hours, 6 weeks",Methylprednisolone,methylprednisolone,No,30mg/kg,immediately post-injury,,1 dose,single dose,intraperitoneally,,functional,"motor function scale according to Gale et al. (1985);
inclined plane test",,"all animals assessed for normal function pre-injury;
scale ranges from 0 (no movement of hindlimbs) to 6 (normal walking)","post-injury,
then weekly (weeks 1 to 6)",Yes,Yes,no stats,statistically significant improvement in motor function score and inclined plane test results but only between time points (not between groups),histopathology,"hematoxylin-eosin stain, size of lesion as percentage of whole spinal cord area",post-injury week 6 (day 42),Not reported,positive effect,statistically significant reduction in lesion size in group treated w/ methylprednisolone when compared w/ injury control group,"gentamycin (no dose specified, twice daily for days 1, 2, 3 post-operatively)",Methylprednisolone has beneficial effect on recovery after SCI as indicated by reduced lesion size in chronic phase and functional recovery. (Resveratrol shows stronger effect in functional recovery and higher activity in biochemical analysis compared to methylprednisolone.),,"Some mortatility in treatment and control groups, number of animals in each group equalised by excluding some animals at random from groups w/ more animals.",Yes (drug of interest + drug not of interest),
Louis,Ates et al.,2006,"Effects of resveratrol and methylprednisolone on biochemical, neurobehavioral and histopathological recovery after experimental spinal cord injury",10.1111/j.1745-7254.2006.00416.x,English,Turkey,included,,,,,,rats,Wistar,90,15,,,15,,,some animals in bigger groups excluded from analysis to balance groups,all male,male,100,14 to 16 weeks,15,0.9,14,16,Weeks,Adult,200g to 250g,221.5,28,200,250,g,,contusion injury at between T7 and T10,T7 - T10,Not reported,contusion,"5g impactor dropped from 10cm, 50g/cm force","24 hours, 6 weeks",Ethanol,ethanol,,"1ml, 2% solution",immediately post-injury,,1 dose,single dose,intraperitoneally,,functional,"motor function scale according to Gale et al. (1985);
inclined plane test",,"all animals assessed for normal function pre-injury;
scale ranges from 0 (no movement of hindlimbs) to 6 (normal walking)","post-injury,
then weekly (weeks 1 to 6)",,Yes,no stats,statistically significant improvement in motor function score and inclined plane test results but only between time points (not between groups),histopathology,"hematoxylin-eosin stain, size of lesion as percentage of whole spinal cord area",post-injury week 6 (day 42),Not reported,no effect,,"gentamycin (no dose specified, twice daily for days 1, 2, 3 post-operatively)",,,,Yes (drug of interest + drug not of interest),
Louis,Rossignol et al.,1998,Pharmacological activation and modulation of the central pattern generator for locomotion in the cat,10.1111/j.1749-6632.1998.tb09061.x,English,Canada,excluded,Review,,,,,cats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Yingli et al.,2014,Microvascular protective role of pericytes in melatonin-treated spinal cord injury in the C57BL/6 mice,10.3760/cma.j.issn.0366-6999.20140858,English,China,included,,,,,,mice,C57BL/6,81,27,,,27,,,,all male,male,100,adult (no precise age reported),,,,,,Adult,18g to 22g,,,18,22,g,,contusion injury at T10,T10,moderate,contusion,"impact force 50 kilodyne, Infinite Horizons Impactor",2 weeks,Melatonin,melatonin,,10mg/kg,start of treatment not reported,,2 weeks,twice daily,intraperitoneally,,functional,Basso mouse scale (BMS),,,"post-injury days 2, 7, 10, 14",,Not reported,positive effect,statistically significant increase in improvement in BMS score for Melatonin treatment group,"histopathology;
immunohistochemistry","Evan's blue assay;
edema formation (dry/wet weight);
TUNEL stain;
lycopersicon esculentum agglutinin lectin (LEA; analysed quantitatively) and anti-PDGFR-beta labelling","post-injury day 7 
(not fully clear for TUNEL)",Not reported,positive effect,"decrease in Evan's blue leakage (statistically significant) in Melatonin treatment group compared to SCI control;
reduced water content/edema formation (statistically significant) in Melatonin treatment group compared to SCI control;
increased LEA-positive area and pericyte coverage (statistically significant) in Melatonin treatment group compared to SCI control",,"Melatonin treatment provides benefit in functional recovery. 
One suspected mechanism through which this is achieved is a reduction in microvasculature loss arising from pericytes. ",,,No,
Louis,Yune et al.,2007,Minocycline alleviates death of oligodendrocytes by inhibiting pro-nerve growth factor production in microglia after spinal cord injury,10.1523/JNEUROSCI.1661-07.2007,English,"South Korea, United States",included,,,,,,rats,Sprague Dawley,108,38,,,38,,,,all male,male,100,adult (no precise age reported),,,,,,Adult,250g to 300g,,,250,300,g,,contusion injury at T9/T10,T9 - T10,Not reported,contusion,"NYU weight drop model, 10g impactor dropped from 25mm",5 weeks,Minocycline,minocycline,,"bolus: 90mg/kg 
subsequent: 45mg/kg","group 1: immediately post-injury
group 2: 2hrs post-injury",,3 days,twice daily,intraperitoneally,,functional,"BBB locomotor scale;
inclined plane test;
footprint recording;
horizontal grid walking",,,"day 1 post-injury, 
weekly thereafter",,Yes,positive effect,"statistically significant increase in BBB score and inclined plane angle for group treated w/ minocycline (both treatment regimes);
statistically significant reduction in error rate for grid walking test for group treated w/ minocycline (both treatment regimes);
qulaitative assessment of paw placement (footprint recording) shows result for minocycline treatment group to be similar to normal (vehicle treated control, methylprednisolone treated group show strong hindlimb drag)","histopathology;
immunohistochemistry","histopathology: Luxol fast blue stain (myelin), axonal density w.r.t. sham group;
immunohistochemistry: TUNEL assay; 
antibody assays against p-p38MAPK, p75-NTR, proNGFm, cleaved caspase 3; 
DAPI labelling",histopathology: day 38 post-injury,Not reported,positive effect,"statistically significant reduction of axonal loss in rostral and caudal regions (relative to injury), qualitatively observed reduction in myelin and axon loss;
",,,,,No,
Louis,Yune et al.,2007,Minocycline alleviates death of oligodendrocytes by inhibiting pro-nerve growth factor production in microglia after spinal cord injury,10.1523/JNEUROSCI.1661-07.2007,English,"South Korea, United States",included,,,,,,rats,Sprague Dawley,108,20,,,20,,,,all male,male,100,adult (no precise age reported),,,,,,Adult,250g to 300g,,,250,300,g,,contusion injury at T9/T10,T9 - T10,Not reported,contusion,"NYU weight drop model, 10g impactor dropped from 25mm",5 weeks,methylprednisolone,methylprednisolone,No,30 mg/kg,"group 1: immediately post-injury
group 2: 2hrs post-injury",Yes,3 days (6 doses),twice daily,intraperitoneally,,functional,"BBB locomotor scale;
inclined plane test;
footprint recording;
horizontal grid walking",,,"day 1 post-injury, 
weekly thereafter",Yes,Yes,no effect,,"histopathology;
immunohistochemistry","histopathology: Luxol fast blue stain (myelin), axonal density w.r.t. sham group;
immunohistochemistry: TUNEL assay; 
antibody assays against p-p38MAPK, p75-NTR, proNGFm, cleaved caspase 3; 
DAPI labelling",histopathology: day 38 post-injury,Not reported,positive effect,"statistically significant reduction of axonal loss in rostral and caudal regions (relative to injury), qualitatively observed reduction in myelin and axon loss;
",,,,,No,
Louis,Liu et al.,2013,Minocycline inhibited the pro-apoptotic effect of microglia on neural progenitor cells and protected their neuronal differentiation in vitro,10.1016/j.neulet.2013.03.011,English,"Hong Kong, China",excluded,Non-sci population,Ex-vivo,In-vitro results only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Zhang et al.,2017,Metformin ameliorates BSCB disruption by inhibiting neutrophil infiltration and MMP-9 expression but not direct TJ proteins expression regulation,10.1111/jcmm.13235,English,China,included,,,,,,rats,Sprague Dawley,>= 80,>= 40,,,>= 40,,,,all female,female,0,adult (no precise age reported),,,,,,Adult,220g to 250g,,,220,250,g,,compression injury at T9,T9,Not reported,compression,"vascular clip, closing force 30g, applied for 1 min",3 days - 2 weeks,Metformin,metformin,,50mg/kg,immediately post-injury,,2 weeks,daily,intraperitoneally,,functional,BBB locomotor scale,,,"post-injury days 1, 3, 7, 14 ",,Yes,positive effect,statistically significant increase in BBB score for,"histopathology;
immunohistochemistry","Evan's blue assay;
oedema measurement (relative weight dry and wet);
anti-CD31, anti-Ly6G, anti-MMP-9, anti-Occludin stains","Evan's blue: day 3 post-injury;
oedema measurement: day 3 post-injury;
immunohistochemistry: not clear, potentially day 5 post-injury based on Fig. 5",Not reported,positive effect,"statistically significant reduction in Evan's blue leakage for Metformin treatment group compared to SCI control;
statistically significant reduction in water content (oedema) for Metformin treatment group compared to SCI control;
",,"Metformin shows beneficial effect after SCI by reducing disruption to the blood-SC barrier, providing better functional recovery.",,,No,
Louis,Downing et al.,2012,Drug-eluting microfibrous patches for the local delivery of rolipram in spinal cord repair,10.1016/j.jconrel.2012.05.034,English,United States,excluded,Out of scope,No drug of interest,No drug of interest (rolipram),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Maric et al.,2008,Levodopa Therapy in Incomplete Spinal Cord Injury,10.1089/neu.2008.0583,English,Switzerland,included,,,,prospective,prospective,human,,12,12,,,12,,,"prospective, randomized placebo-controlled,  double-blind crossover design",female: 4 (33.3%),mixed,66.7,52.7 yrs (17.2),52.7,17.2,,,Years,,Not reported,,,,,,,"incomplete SCI, ASIA C: 9, ASIA D: 3;
injury level: L3 - 1, T5 - 1, T10 - 1, T12 - 3, C5 - 3, C4 - 2, C6 - 1",,incomplete,,Not reported,"1 to 6 months (inclusion criterion);
time since injury 7.3 wks (3.5)","Levodopa (L-Dopa) extended release,
administered w/ dopa decarboxlyase inhibitor",levodopa,,"200mg,
inhibitor: 50mg",-,,"regime 1: 6 weeks L-Dopa, 6 weeks placebo;
regime 2: 6 weeks placebo, 6 weeks L-dopa","single tablet (morning, min. 30 prior to breakfast, min 1hr before physiotherapy), 
five days per week",oral,,functional,"ASIA Motor score;
Walking Index for SCI II (WISCI II);
Spinal Cord Independence Measure II (SCIM II)","neurological (motor), functional (mobility and general)","ASIA motor score assessed by physician;
WISCI II assessed by physiotherapists;
SCIM II assessed by specially trained nurses",weekly,,Yes,no effect,No statistically significant differences in any of the scores.,,,,,,,,L-Dopa does not provide benefit in motor recovery after incomplete SCI. ,"Plasma levels of L-Dopa not monitored, unclear if previously reported steady level achieved.
Potential age-dependent effect, which could not be accounted for due to small sample size.",One patient excluded post-hoc as maximum scores were attained within 3 weeks from trial start and no further improvements possible.,No,
Louis,Park et al.,2014,Neuroprotective role of hydralazine in rat spinal cord injury-attenuation of acrolein-mediated damage,10.1111/jnc.12628,English,United States,included,,,,,,rats,Sprague Dawley,42 - 72,13,,,13,,,,all male,male,100,not reported,,,,,,Not reported,200g to 250g,,,200,250,g,,contusion injury at T10; moderate or severe,T10,mixed,contusion,"NYU weight drop model, 10g impactor;
moderate: 25mm height, severe: 37.5mm height",4 weeks,Hydralazine,hydralazine,,5mg/kg,immediately post-injury,,2 weeks,daily,intraperitoneally,,"functional;
neurological","BBB locomotor scale;
foot withdrawal under mechanical stimuli",,"BBB: open field assessment after 5min period for adaptation, hindlimbs assessed separately, average score reported;
foot withdrawal: assessment after 10min period for adaptation, using calibrated von Frey filaments, stimuli presented in 1min intervals","pre-injury for both;
BBB: post injury days 1, 7, 14, 21, 28;
foot withdrawal: post injury days 14, 21, 28",,Not reported,positive effect,"statistically significant improvement in BBB score for hydralazine treatment group compared to SCI control from day 7 onwards;
statistically significant increase in withdrawal threshold (reduced hypersensitivity) for hydralazine treatment for days 14, 21 and 28",histopathology,"Luxol fast blue and Cresyl violet stain, measurement of intact tissue and cyst area;",,"Yes (Luxol, Cresyl stain)",positive effect,"statistically significant reduction in size of cyst for treatment group 
compared to SCI control (injury severity not reported)",,Hydralazine treatment shows beneficial effects after SCI as measured by functional recovery and pain sensivity as well as reduced cyst size (indicating severe tissue damage). The suspected mechanism of action is hydralazine's acrolein scavaging property.,"In clinical use, hydralazine's vasodilation effect and risk of hypotension migh be problematic. ",,No,
Louis,Stirling et al.,2004,"Minocycline Treatment Reduces Delayed Oligodendrocyte Death, Attenuates Axonal Dieback, and Improves Functional Outcome after Spinal Cord Injury",10.1523/JNEUROSCI.5275-03.2004,English,Canada,included,,,,,,rats,Wistar,24,12,,,12,,,,not reported,not reported,not reported,adult (no precise age reported),,,,,,Adult,not reported,,,,,,,complete transection at C7/C8,C7 - C8,complete,transection,complete transection by wire knife and microscissors; confirmed postmortem,7 days - 14 days,Minocycline,minocycline,,50mg/kg,30min post-injury,,2 days,twice daily,intraperitoneally,,functional,footprint analysis,,"acceleration/deceleration excluded, repeat when animals
paused on track;
measurements for toe spread, interlimb coordination and angle of rotation","pre-injury; post-injury days 3, 5, 7,14",,Yes,mixed effects (assessment),"statistically significant improvement in forelimb-hindlimb coordination and reduction in hindlimb angle of rotation on days 7 and 14 for Minocycline treatment group;
statistically significant improvement in toespread only on day 7 for Minocycline treatment group",immunohistochemistry,"anti-active-caspase-3;
Hoechst stain",days 7 or 14 post-injury,Not reported,positive effect,"statistically significant reduction in number of apoptotic cell profiles per 10um in Minocycline treatment group on days 7 and 14;
statistically significant reduction in amount of axon dieback (distance between closest intact corticospinal tract fibers and center of lesion) in Minocycline treatment group on days 7 and 14;
statistically significant reduction in lesion size in Minocycline treatment group on days 7 and 14",,"Minocycline treatment shows positive effects on functional outcome after SCI.
It is suspected that this benefit is derived from reduction of the scondary injury response as marked by reduced lesion size and apoptosis.",,,No,
Louis,Gao et al.,2016,Combination of melatonin and Wnt-4 promotes neural cell differentiation in bovine amniotic epithelial cells and recovery from spinal cord injury,10.1111/jpi.12311,English,China,excluded,Out of scope,No drug of interest,Cell transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Yin et al.,2019,Edaravone inhibits autophagy after neuronal oxygen-glucose deprivation/recovery injury,10.1080/00207454.2018.1550399,English,China,excluded,Out of scope,No drug of interest,No drug of interest (edaravone); in-vitro results only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Zeman et al.,2006,β<inf>2</inf>-adrenoreceptor agonist-enhanced recovery of locomotor function after spinal cord injury is glutathione dependent,10.1089/neu.2006.23.170,English,United States,excluded,Out of scope,No drug of interest,No drug of interest (clenbuterol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Weaver et al.,2005,"Methylprednisolone causes minimal improvement after spinal cord injury in rats, contrasting with benefits of an anti-integrin treatment",10.1089/neu.2005.22.1375,English,Canada,included,,,,,,rats,Wistar,66,33,,,26,,,,female: 52 (78.8%),mixed,21.2,not reported,,,,,,Not reported,not reported,,,,,,,"group 1: severe compression injury at T4 (52 rats, all female)
group 2: moderate compression injury at T12 (14 rats, all male)",T4 + T12,mixed,compression,"clip applied for 60sec;
group 1: 50g closing force, group 2: 35g closing force","2 weeks, 6 weeks, 12 weeks",Methylprednisolone,methylprednisolone,No,"bolus: 30mg/kg 
subsequently: 15mg/kg (later doses)","2hrs, 24hrs, 48hrs post-injury",Yes,3 doses,,intravenously,,"functional;
neurological","BBB locomotor scale;
response to mechanical stimuli",,"BBB: two independent observers, avg. score across hindlimbs and observers and week;
mechanical stimuli: only assessed in moderate injury group, induced by Semmes-Weinstein monofilament generating 15mN force, assessment of responsiveness in dorsal trunk (dermatomes corresponding to T9-T11) and at hindpaws, testing session with 10 stimuli lasting 3sec separated by 5sec break and no. of responsese counted","BBB: twice weekly, starting from post-injury day 1;
mechanical stimulus: weekly at trunk, every 2nd week at hindpaws",Yes,Yes,no effect,"no statistically significant differences in locomotor recovery over 6 or 12 weeks between Methylprednisolone treatment and SCI control group (also no effect for combined treatment, i.e. MP + Ab);
no significant effect on sensitivity to mechanical stimuli at either trunk or paw level in Methylprednisolone treatment group compared to SCI control group","histopathology;
immunohistochemistry","luxol blue, solochrome cyanin;
anti-NF200 antibody stain","week 2 post-injury (luxol blue);
weeks 6 or 12 post-injury (all other)",Yes,positive effect,"statistically significantly larger amount of neurofilament (reduction in tissue loss) for Methylprednisolone treatment group in areas rostral and caudal to injury epicenter;
statistically significantly more myelin either only rostral to injury site (severe injury T4, 2 weeks post-injury) or rostral and caudal (severe injury T4, 6 weeks post-injury and moderate injury T12, 12 weeks post-injury) in Methylprednisolone treatment group",,"Immunosuppressive therapy using Methylprednisolone does not benefit neurological outcomes after SCI. More selective treatments using only monoclonal Ab could provide targeted benefits, which might however be lost in a combination treatment.",Potentially relatively lower dosing scheme could have reduced effect on functional recovery.,,Yes (drug of interest + drug not of interest),
Louis,Moutaery et al.,2000,Effect of aluminum on neurological recovery in rats following spinal cord injury,10.3171/spi.2000.93.2.0276,English,Saudi Arabia,included,,,,,,rats,Sprague Dawley,32,,,,,,,,all male,male,100,adult (no precise age reported),,,,,,Adult,180g to 200g,,,,,,,compression injury at T7/T8,T7 - T8,Not reported,compression,35g curved compression plate applied for 5min,-,Aluminium sulfate,aluminum,,"(i) 0%
(ii) 0.25%
(iii) 0.5%
(iv) 1%",-,,30 days,continuously available,oral,,"functional;
physiological;
electrophysiological","modified Tarlov score, angled plane score, vocal/sensory score;
corticomotor evoked potentials",,"vocal/sensory score: noxious stimulus at hindlimb, vocalization and/or withdrawal scored;
EMG: active disc electrode on right motor cortex area, needle electrodes in lateral muscle of left hindlimb and left hindpaw","functional: pre-injury, post-injury days 1 to 10;
vitamin E: pre-injury, post-injury 4hrs, 24hrs, days 5 and 10;
EMG: pre-injury, post-injury 4hrs, 24hrs, day 10
",,Yes,mixed effects (dosage),"recovery in functional assessment outcomes negatively affected by aluminium in dose-dependent fashion, mostly statistically significant;
aluminium pre-treatment reduced vitamin E levels in SCI animals but not sham (statistically significant);
recovery in CMEP at day 10 reduced by aluminium treatment, latency increase worsened by aluminium treatment",histopathology,hematoxylin and eosin stain; vitamin E levels in spinal cord tissue (based on 50mg sample of tissue in liquid chromatography),not reported (presumably day 10),Yes,negative effect,pretreatment produced (qualitatively) more sever structural changes,"gentamicin (2mg/kg, daily, intramuscularly, post-injury days 1 to 3)",Aluminium pretreatment results in dose-dependent negative effect on functional recovery. (Matches previously reported neurotoxic effect if accumulated in CNS.),,,No,
Louis,Khalatbary et al.,2010,Effects of epigallocatechin gallate on tissue protection and functional recovery after contusive spinal cord injury in rats,10.1016/j.brainres.2009.09.109,English,Iran,excluded,Out of scope,No drug of interest,No drug of interest (epigallocatechin gallate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Nakauchi et al.,1996,Effects of lecithinized superoxide dismutase on rat spinal cord injury,10.1089/neu.1996.13.573,English,Japan,excluded,Out of scope,No drug of interest,No drug of interest (superoxide dismutase [enzyme]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Hall et al.,1995,Lack of Effect of Postinjury Treatment with Methylprednisolone or Tirilazad Mesylate on the Increase in Eicosanoid Levels in the Acutely Injured Cat Spinal Cord,10.1089/neu.1995.12.245,English,United States,excluded,Out of scope,No assessments of interest,,,,cats,Not reported,48,06.Dec,,,12,,,,all female,female,0,adult (no precise age reported),,,,,,Adult,approx. 3kg,~3.0,,,,kg,,compression injury at L3,L3,Not reported,compression,180g weight applied for 5min ,1 hour - 4 hours,Methylprednisolone,methylprednisolone,,"group 1: 30mg/kg;
group 2: 30mg/kg, 15mg/kg","group 1: 30min post-injury;
group 2: 30min post-injury, 2.5hrs post-injury",,1 dose - 2 doses,,intravenously,,,,,,,,,,,perfusion,spinal cord blood flow (via laser doppler flowmetry),"group 1: pre-injury to 1hr post-injury;
group 2: pre-injury to 4hrs post-injury",Not reported,positive effect,methylprednisolone prevents hyperperfusion response at 1hr and 4hrs post-injury (no statistical difference to uninjured sham operation group but statistically significant reduction compared to injured vehicle treated control),,Methylprednisolone primarily acts as a neuroprotective agent by inhibition if oxygen radical-induced lipid peroxydation as opposed to an antiinflammatory effect [...]. (Tirilazad shows similar effects but does not have glucocorticoid receptor-mediated activity.),,,No,
Louis,Welin et al.,2009,Effects of N-acetyl-cysteine on the survival and regeneration of sural sensory neurons in adult rats,10.1016/j.brainres.2009.06.038,English,Sweden,excluded,Non-sci population,,Sciatic nerve injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Pointillart et al.,1993,Effects of Nimodipine on Posttraumatic Spinal Cord Ischemia in Baboons,10.1089/neu.1993.10.201,English,France,excluded,Out of scope,No drug of interest,No drug of interest (nimodipine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
